dataset,model,run,rmse,nll,runtime_s
airfoil,rf,0,0.2647002163369447,0.0897811807463214,0.9606701279990375
airfoil,rf,1,0.2629648316900271,0.08320355764922648,0.9314174088649452
airfoil,rf,2,0.2626142321588769,0.08186941172420922,0.932800805196166
airfoil,rf,3,0.2651418412585877,0.09144818704596017,0.9378628369886428
airfoil,rf,4,0.2706200458877758,0.11189904662337234,0.9315889999270439
airfoil,xgb,0,0.201022207736969,-0.18540139712257897,4.04983551800251
airfoil,xgb,1,0.201022207736969,-0.18540139712257897,3.3374153377953917
airfoil,xgb,2,0.201022207736969,-0.18540139712257897,2.934643105836585
airfoil,xgb,3,0.201022207736969,-0.18540139712257897,3.2989675868302584
airfoil,xgb,4,0.201022207736969,-0.18540139712257897,3.430911511881277
airfoil,linear,0,0.6867813467979431,1.0431992708559026,0.0020498689264059067
airfoil,linear,1,0.6867813467979431,1.0431992708559026,0.000771824037656188
airfoil,linear,2,0.6867813467979431,1.0431992708559026,0.00073277298361063
airfoil,linear,3,0.6867813467979431,1.0431992708559026,0.0007337729912251234
airfoil,linear,4,0.6867813467979431,1.0431992708559026,0.00071901292540133
airfoil,catboost,0,0.21869233431370222,-0.10115086985810048,1.2356312440242618
airfoil,catboost,1,0.21847834293020243,-0.10212985317848156,1.1343495461624116
airfoil,catboost,2,0.21453849788937607,-0.12032754617377514,1.3378359659109265
airfoil,catboost,3,0.21661024957692002,-0.11071709203042115,1.0851183489430696
airfoil,catboost,4,0.22352706884746198,-0.07928422564601478,1.124284260906279
airfoil,tabpfn,0,0.14400626718997955,-0.5189598989454375,8.22506256098859
airfoil,tabpfn,1,0.14400626718997955,-0.5189598989454375,6.659419656964019
airfoil,tabpfn,2,0.14400626718997955,-0.5189598989454375,7.474710382055491
airfoil,tabpfn,3,0.14400626718997955,-0.5189598989454375,7.647998878033832
airfoil,tabpfn,4,0.14400626718997955,-0.5189598989454375,11.338743936968967
airfoil,bde,0,0.13372844457626343,-0.8153740763664246,362.78250319394283
airfoil,bde,1,0.1316337287425995,-0.8221014142036438,344.78368123597465
airfoil,bde,2,0.13471457362174988,-0.8292796015739441,400.2735348979477
airfoil,bde,3,0.1313888132572174,-0.8494805693626404,398.14866198203526
airfoil,bde,4,0.13485921919345856,-0.8250064849853516,366.14078349177726
